attributes,datatype,date,station,value,datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name
",,N,",SNWD,2017-04-14T00:00:00,GHCND:US1NDBH0034,0.0,0.9895,526.1,METERS,GHCND:US1NDBH0034,46.8115,-100.793,2018-04-10,2012-04-16,"BISMARCK 1.3 WNW, ND US"
",,N,",PRCP,2017-04-14T00:00:00,GHCND:US1NDBR0002,0.0,0.663,459.6,METERS,GHCND:US1NDBR0002,46.9438,-98.0358,2017-12-21,2010-03-05,"VALLEY CITY 2.0 NW, ND US"
",,N,",SNOW,2017-04-14T00:00:00,GHCND:US1NDBR0002,0.0,0.663,459.6,METERS,GHCND:US1NDBR0002,46.9438,-98.0358,2017-12-21,2010-03-05,"VALLEY CITY 2.0 NW, ND US"
",,N,",PRCP,2017-04-14T00:00:00,GHCND:US1NDBT0003,0.0,0.9823,438.9,METERS,GHCND:US1NDBT0003,48.677,-100.8026,2018-04-10,2010-12-30,"UPHAM 7.5 NNW, ND US"
",,N,",SNOW,2017-04-14T00:00:00,GHCND:US1NDBT0003,0.0,0.9823,438.9,METERS,GHCND:US1NDBT0003,48.677,-100.8026,2018-04-10,2010-12-30,"UPHAM 7.5 NNW, ND US"
",,N,",WESF,2017-04-14T00:00:00,GHCND:US1NDBT0003,0.0,0.9823,438.9,METERS,GHCND:US1NDBT0003,48.677,-100.8026,2018-04-10,2010-12-30,"UPHAM 7.5 NNW, ND US"
",,N,",PRCP,2017-04-14T00:00:00,GHCND:US1NDCS0001,0.0,0.4518,273.1,METERS,GHCND:US1NDCS0001,46.8275,-96.8528,2018-04-10,1998-06-17,"WEST FARGO 3.8 SSE, ND US"
",,N,",SNOW,2017-04-14T00:00:00,GHCND:US1NDCS0001,0.0,0.4518,273.1,METERS,GHCND:US1NDCS0001,46.8275,-96.8528,2018-04-10,1998-06-17,"WEST FARGO 3.8 SSE, ND US"
",,N,",SNWD,2017-04-14T00:00:00,GHCND:US1NDCS0001,0.0,0.4518,273.1,METERS,GHCND:US1NDCS0001,46.8275,-96.8528,2018-04-10,1998-06-17,"WEST FARGO 3.8 SSE, ND US"
",,N,",PRCP,2017-04-14T00:00:00,GHCND:US1NDCS0004,0.0,0.9771,273.4,METERS,GHCND:US1NDCS0004,46.911,-96.7797,2018-04-10,2008-11-01,"FARGO 3.0 NE, ND US"
",,N,",SNOW,2017-04-14T00:00:00,GHCND:US1NDCS0004,0.0,0.9771,273.4,METERS,GHCND:US1NDCS0004,46.911,-96.7797,2018-04-10,2008-11-01,"FARGO 3.0 NE, ND US"
",,N,",SNWD,2017-04-14T00:00:00,GHCND:US1NDCS0004,0.0,0.9771,273.4,METERS,GHCND:US1NDCS0004,46.911,-96.7797,2018-04-10,2008-11-01,"FARGO 3.0 NE, ND US"
",,N,",PRCP,2017-04-14T00:00:00,GHCND:US1NDCS0020,0.0,0.5531,287.7,METERS,GHCND:US1NDCS0020,46.65,-97.0193,2017-12-29,2010-03-02,"KINDRED 0.1 SE, ND US"
",,N,",SNOW,2017-04-14T00:00:00,GHCND:US1NDCS0020,0.0,0.5531,287.7,METERS,GHCND:US1NDCS0020,46.65,-97.0193,2017-12-29,2010-03-02,"KINDRED 0.1 SE, ND US"
",,N,",PRCP,2017-04-14T00:00:00,GHCND:US1NDCS0025,0.0,0.2511,276.1,METERS,GHCND:US1NDCS0025,46.9082,-96.7794,2018-04-10,2001-08-17,"FARGO 2.1 N, ND US"
