Station Name,Latitude (deg),Longitute (deg),Elevation (ft),Year,Month,Day,Max Temp (F),Min Temp (F),Avg Temp (F),Avg Bare Soil Temp (F),Avg Turf Soil Temp (F),Avg Wind Speed (mph),Max Wind Speed (mph),Total Solar Rad (Lys),Rainfall (in),Dew Point,Wind Chill
Streeter,46.715063,-99.450434,1992,2018,1,1,-6.43,-26.32,-16.375,22.063000000000002,19.179000000000002,4.0569999999999995,10.597000000000001,162.314,,-23.462,-27.805
Turtle Lake,47.568000000000005,-100.915,1927,2018,1,1,-6.142,-27.201999999999998,-16.672,14.094000000000001,16.702,6.167999999999999,14.181,161.974,,-22.72,-32.342
Watford City,47.81042,-103.23217,2141,2018,1,1,-4.882,-30.478,-17.68,22.82,19.429000000000002,3.4789999999999996,16.569000000000003,133.106,,-26.588,-25.706
Williston,48.133,-103.73899999999999,2132,2018,1,1,-8.734,-31.054000000000002,-19.894000000000002,24.108,20.926,3.5260000000000002,14.927,151.078,,-27.794,-28.429000000000002
Mooreton,46.224074,-96.894987,985,2018,1,1,-4.99,-19.12,-12.055,14.023,17.727999999999998,8.236,17.241,171.75,,-20.262,-31.616999999999997
Berthold,48.38,-101.822,2132,2018,1,1,-6.79,-23.944000000000003,-15.367,15.674000000000001,11.635,12.380999999999998,27.552,158.75,,-22.91,-38.802
Wishek,46.26,-99.666,2219,2018,1,1,-7.402,-28.138,-17.77,17.483,13.811,8.294,17.539,166.972,,-24.133000000000003,-37.821
Bowbells,48.817,-102.23899999999999,1959,2018,1,1,-1.876,-26.572,-14.224,15.304,14.345,6.646,20.608,142.165,,-22.570999999999998,-29.725
Karlsruhe,48.123000000000005,-100.625,1547,2018,1,1,-2.146,-26.158,-14.152000000000001,10.888,-0.598,3.321,14.405,154.031,,-22.35,-23.096999999999998
Sabin,46.794389,-96.611683,919,2018,1,1,-7.06,-22.305999999999997,-14.683,16.605,19.609,5.497000000000001,11.269,172.757,,-20.816,-28.487
Roseau,48.685,-95.734,1108,2018,1,1,-2.182,-23.511999999999997,-12.847000000000001,26.651999999999997,27.910999999999998,7.13,18.211,143.782,,-20.088,-29.783
Fingal,46.746,-97.911,1492,2018,1,1,-4.72,-20.074,-12.397,25.913,22.315,10.898,16.867,166.283,,-19.489,-34.394
Wahpeton,46.355,-96.666,969,2018,1,1,-5.17,-20.272000000000002,-12.720999999999998,29.781999999999996,30.838,5.795,12.613,173.9,,-20.468,-29.076999999999998
Pillsbury,47.225,-97.791,1287,2018,1,1,-3.406,-17.986,-10.696,27.351,25.686999999999998,10.935,18.726,157.054,,-18.656,-32.483000000000004
Crosby,48.807152,-103.311735,2086,2018,1,1,-8.356,-30.964000000000002,-19.66,11.702,7.888999999999999,10.059,26.208000000000002,149.588,,-28.006999999999998,-42.635
Ross,48.270140000000005,-102.48087199999999,2317,2018,1,1,-6.106,-25.15,-15.628,26.948,27.691,5.367999999999999,21.570999999999998,153.075,,-24.468000000000004,-30.008000000000003
Plaza,47.861999999999995,-101.958,2117,2018,1,1,-5.224,-29.344,-17.284000000000002,21.249000000000002,26.64,3.79,12.315999999999999,144.037,,-24.377,-25.982
Tappen,46.881,-99.58,1815,2018,1,1,-7.204,-26.625999999999998,-16.915,19.61,19.702,5.465,13.732999999999999,161.713,,-24.855,-32.199
Mott,46.38,-102.322,2473,2018,1,1,-0.94,-38.524,-19.732,19.363,16.378,4.5089999999999995,13.583,159.951,,-26.221,-30.594
Greenbush,48.70399999999999,-96.325,1000,2018,1,1,-1.876,-19.066,-10.470999999999998,32.93,31.926,8.629,21.504,136.866,,-18.817,-29.924
Mavie,48.121,-95.971,1168,2018,1,1,-6.5920000000000005,-23.511999999999997,-15.052,30.436999999999998,29.699,8.305,20.07,143.303,,-21.476,-34.146
Leonard,46.732,-97.241,953,2018,1,1,-5.026,-21.64,-13.333,24.589000000000002,26.205,6.659,13.807,166.769,,-20.625,-30.083000000000002
Michigan,48.019,-98.17200000000001,1521,2018,1,1,-5.98,-20.83,-13.405,28.366999999999997,28.9,6.577999999999999,17.539,160.06799999999998,,-20.339000000000002,-31.009
Rugby,48.354,-100.06299999999999,1494,2018,1,1,-7.7620000000000005,-25.276,-16.519000000000002,27.86,24.982,4.963,10.002,145.42600000000002,,-23.866,-31.616999999999997
Ekre,46.540042,-97.140927,1053,2018,1,1,-2.398,-22.414,-12.405999999999999,24.928,25.793000000000003,5.136,15.001,165.417,,-20.070999999999998,-25.525
Lisbon,46.444765999999994,-97.721064,1210,2018,1,1,-3.208,-18.544,-10.876,24.093000000000004,20.117,9.288,20.16,169.15099999999998,,-19.875,-31.965999999999998
Grafton,48.4123,-97.186,801,2018,1,1,-3.3339999999999996,-17.59,-10.462,30.199,25.756999999999998,5.216,15.525,156.734,,-18.195,-24.724
Ada,47.3211,-96.5139,910,2018,1,1,-7.654,-26.176,-16.915,29.965,29.424,5.037,13.884,159.19,,-21.729,-26.646
Marion,46.5645,-98.3276,1453,2018,1,1,-2.002,-22.144000000000002,-12.073,29.266,26.344,6.382000000000001,14.181,165.297,,-20.152,-29.519000000000002
Inkster,48.1664,-97.7104,1149,2018,1,1,-2.65,-17.266,-9.958,22.57,27.541,11.630999999999998,23.072,152.659,,-18.123,-31.816
Dunn,47.3416,-102.6308,2210,2018,1,1,-2.992,-32.854,-17.923,20.72,11.460999999999999,2.379,13.359000000000002,153.65,,-24.594,-22.584
Kennedy,48.636709,-97.041117,801,2018,1,1,-3.9819999999999998,-20.074,-12.027999999999999,15.93,10.69,6.189,16.643,149.531,,-18.623,-24.645
Garrison,47.710256,-101.679546,1926,2018,1,1,-4.882,-21.514,-13.198,26.764,27.553,8.225,17.987000000000002,169.762,,-21.319000000000003,-32.65
Brampton,45.984106,-97.82075999999999,1319,2018,1,1,-6.88,-26.86,-16.87,17.69,17.809,5.9479999999999995,15.151,172.15,,-24.796,-32.279
Cooperstown,47.442811,-98.177288,1454,2018,1,1,-4.468,-20.524,-12.495999999999999,27.362,23.523000000000003,7.197,14.255,162.092,,-19.986,-31.07
Finley,47.526379999999996,-97.847264,1477,2018,1,1,-4.144,-19.498,-11.821,27.118000000000002,21.648000000000003,9.231,17.342,156.264,,-19.033,-32.33
Campbell,46.064932,-96.370165,1005,2018,1,1,-3.2439999999999998,-19.57,-11.407,19.473,19.764,3.818,10.3,174.101,,-19.9,-22.92
Pekin,47.807624,-98.310573,1506,2018,1,1,-5.566,-23.781999999999996,-14.674000000000001,22.897,25.451999999999998,7.885,17.017,169.642,,-21.807,-34.091
Fort Yates,46.084858000000004,-100.67649499999999,1662,2018,1,1,-3.9819999999999998,-30.694000000000003,-17.338,17.926,14.773,1.383,7.09,168.074,,-25.636999999999997,-20.177
Froid,48.25793,-104.496673,2185,2018,1,1,-12.91,-32.008,-22.459,23.875,21.871,3.623,20.07,151.739,,-29.824,-30.541999999999998
Ulen,47.050473,-96.108432,1221,2018,1,1,-7.852,-24.16,-16.006,28.703000000000003,30.016,4.137,14.552999999999999,164.61,,-22.355,-25.587
Waukon,47.325859,-96.132504,1165,2018,1,1,-5.763999999999999,-26.482,-16.123,24.651,29.113000000000003,4.646,16.569000000000003,158.314,,-21.787,-25.149
Fox,48.877738,-95.85016,1040,2018,1,1,-4.198,-21.406,-12.802,25.939,27.614,9.163,18.883,141.372,,-20.531,-33.009
Williams,48.858453999999995,-94.980897,1093,2018,1,1,-1.012,-18.742,-9.877,16.831,20.669,8.189,19.555,143.317,,-18.831,-28.401999999999997
Carson,46.44303,-101.373829,2107,2018,1,1,-2.11,-30.658,-16.384,21.033,18.547,3.8680000000000003,15.151,165.149,,-24.581999999999997,-23.131
Edmore,48.420564,-98.512766,1520,2018,1,1,-5.08,-23.116,-14.097999999999999,22.206,16.988,6.888999999999999,22.019000000000002,142.86,,-21.83,-30.962
Alamo,48.54651,-103.471843,2157,2018,1,1,-6.412000000000001,-30.351999999999997,-18.382,20.480999999999998,23.406999999999996,1.6440000000000001,13.66,150.065,,-27.607,-24.1
Dagmar,48.555903,-104.346503,2112,2018,1,1,-13.306,-32.818000000000005,-23.061999999999998,17.117,15.955,4.7,21.862,147.878,,-30.303,-32.5
Redstone,48.821094,-104.842003,2402,2018,1,1,-10.39,-29.074,-19.732,10.556,8.758,3.117,17.090999999999998,149.454,,-25.798000000000002,-24.737
Dooley,48.833729,-104.384671,2509,2018,1,1,-9.363999999999999,-25.096,-17.23,25.076,28.179000000000002,8.349,20.003,156.532,,-23.843000000000004,-35.945
Hope,47.368352,-97.64030600000001,1131,2018,1,1,-2.38,-15.825999999999999,-9.103,13.73,27.205,8.185,15.823,170.205,,-17.45,-28.357
